case_id,prediction,is_valid_output,decider,prediction_source,n_claims,mapper_fallback,n_valid_votes,confidence,input_tokens,output_tokens,hit_max_new_tokens,n_stage_errors,error_kind
case_1615,A_WIN,True,majority_at_claim_consensus,judge_ensemble,1,True,2,0.95,40909,23784,False,2,
case_4110,A_WIN,True,majority_at_claim_consensus,judge_ensemble,1,False,3,0.9166666666666666,45218,25071,False,0,
case_3487,A_WIN,True,majority_at_claim_consensus,judge_ensemble,3,False,3,0.935,39394,22947,False,0,
case_3199,A_WIN,True,majority_at_claim_consensus,judge_ensemble,1,False,3,0.9,44935,23200,False,0,
case_5000,A_WIN,True,majority_at_claim_consensus,judge_ensemble,1,False,3,0.9066666666666667,37845,22058,False,0,
case_7377,A_WIN,True,majority_at_claim_consensus,judge_ensemble,1,False,3,0.865,38617,20080,False,0,
case_407,A_WIN,True,majority_at_claim_consensus,judge_ensemble,3,False,3,0.85,38825,22815,False,0,
case_6257,PARTIAL_A_WIN,True,majority_at_claim_consensus,judge_ensemble,2,False,3,0.85,36830,24217,False,0,
case_118,B_WIN,True,majority_at_claim_consensus,judge_ensemble,2,False,3,0.8,44475,27887,False,0,
case_1551,PARTIAL_A_WIN,True,majority_at_claim_consensus,judge_ensemble,1,False,3,0.7833333333333333,38891,24484,False,0,
case_4676,A_WIN,True,majority_at_claim_consensus,judge_ensemble,5,False,3,0.8666666666666667,39524,24020,False,0,
case_8468,A_WIN,True,majority_at_claim_consensus,judge_ensemble,4,False,3,0.8733333333333334,42310,26856,False,0,
case_4847,PARTIAL_B_WIN,True,majority_at_claim_consensus,judge_ensemble,2,False,3,0.85,44701,26560,False,0,
case_1739,A_WIN,True,majority_at_claim_consensus,judge_ensemble,1,False,3,0.9066666666666667,39278,30756,False,0,
case_4170,A_WIN,True,majority_at_claim_consensus,judge_ensemble,1,False,3,0.96,40950,15328,False,0,
case_5783,PARTIAL_A_WIN,True,majority_at_claim_consensus,judge_ensemble,3,False,3,0.85,37698,26633,False,0,
case_2652,PARTIAL_A_WIN,True,majority_at_claim_consensus,judge_ensemble,2,False,3,0.85,38431,27347,False,0,
case_872,PARTIAL_B_WIN,True,majority_at_claim_consensus,judge_ensemble,2,False,3,0.85,42907,28161,False,0,
case_6551,A_WIN,True,majority_at_claim_consensus,judge_ensemble,3,False,3,0.885,43140,29997,False,0,
case_6310,A_WIN,True,majority_at_claim_consensus,judge_ensemble,1,False,3,0.85,48775,23266,False,0,
case_4976,PARTIAL_A_WIN,True,majority_at_claim_consensus,judge_ensemble,2,False,2,0.85,49562,30603,False,1,
case_2829,PARTIAL_A_WIN,True,majority_at_claim_consensus,judge_ensemble,2,False,3,0.8,43103,26357,False,0,
case_2946,A_WIN,True,majority_at_claim_consensus,judge_ensemble,2,False,3,0.925,41216,26622,False,0,
case_9153,A_WIN,True,majority_at_claim_consensus,judge_ensemble,1,False,3,0.9233333333333333,44576,20362,False,0,
case_1989,PARTIAL_A_WIN,True,majority_at_claim_consensus,judge_ensemble,2,False,3,0.8666666666666667,40961,23067,False,0,
case_7531,PARTIAL_A_WIN,True,majority_at_claim_consensus,judge_ensemble,2,False,3,0.86,54644,31799,False,0,
case_145,A_WIN,True,majority_at_claim_consensus,judge_ensemble,5,False,3,0.85,40475,25011,False,0,
case_778,B_WIN,True,majority_at_claim_consensus,judge_ensemble,3,False,3,0.8833333333333333,43471,23940,False,0,
case_2690,PARTIAL_B_WIN,True,majority_at_claim_consensus,judge_ensemble,3,False,3,0.85,37413,35957,False,0,
case_8784,B_WIN,True,majority_at_claim_consensus,judge_ensemble,1,False,3,0.91,36999,25150,False,0,
case_956,B_WIN,True,majority_at_claim_consensus,judge_ensemble,2,False,3,0.87,42155,24608,False,0,
case_5152,B_WIN,True,majority_at_claim_consensus,judge_ensemble,3,False,3,0.835,44191,28781,False,0,
case_4613,B_WIN,True,majority_at_claim_consensus,judge_ensemble,2,False,3,0.8833333333333333,50603,28428,False,0,
case_9643,B_WIN,True,majority_at_claim_consensus,judge_ensemble,3,False,3,0.8666666666666667,48899,21041,False,0,
case_5243,PARTIAL_B_WIN,True,majority_at_claim_consensus,judge_ensemble,3,False,3,0.7849999999999999,48112,26737,False,0,
case_4823,PARTIAL_A_WIN,True,majority_at_claim_consensus,judge_ensemble,3,False,3,0.8066666666666666,46178,24676,False,0,
case_9456,PARTIAL_A_WIN,True,majority_at_claim_consensus,judge_ensemble,4,False,3,0.7999999999999999,55672,26928,False,0,
case_6006,B_WIN,True,majority_at_claim_consensus,judge_ensemble,3,False,3,0.8833333333333333,43727,22056,False,0,
case_543,B_WIN,True,majority_at_claim_consensus,judge_ensemble,2,False,3,0.8733333333333334,47382,24126,False,0,
case_4821,B_WIN,True,majority_at_claim_consensus,judge_ensemble,3,False,3,0.9,48573,23923,False,0,
case_7359,PARTIAL_B_WIN,True,majority_at_claim_consensus,judge_ensemble,1,False,3,0.7,51576,31308,False,0,
case_5381,PARTIAL_A_WIN,True,majority_at_claim_consensus,judge_ensemble,1,False,3,0.92,36478,34386,False,0,
case_7175,PARTIAL_A_WIN,True,majority_at_claim_consensus,judge_ensemble,2,False,3,0.835,39042,26002,False,0,
case_7097,PARTIAL_A_WIN,True,majority_at_claim_consensus,judge_ensemble,1,True,3,0.915,38673,24936,False,1,
case_8215,B_WIN,True,majority_at_claim_consensus,judge_ensemble,1,False,3,0.81,48141,28793,False,0,
case_5775,PARTIAL_A_WIN,True,majority_at_claim_consensus,judge_ensemble,4,False,3,0.8300000000000001,46160,28226,False,0,
case_6016,B_WIN,True,majority_at_claim_consensus,judge_ensemble,4,False,3,0.875,43962,25510,False,0,
case_5449,PARTIAL_A_WIN,True,majority_at_claim_consensus,judge_ensemble,3,False,3,0.7966666666666665,45872,22429,False,0,
case_4770,A_WIN,True,majority_at_claim_consensus,judge_ensemble,3,False,3,0.9499999999999998,37900,22514,False,0,
case_5906,PARTIAL_A_WIN,True,majority_at_claim_consensus,judge_ensemble,1,False,3,0.85,36089,29194,False,0,
case_9397,PARTIAL_A_WIN,True,majority_at_claim_consensus,judge_ensemble,1,False,3,0.8066666666666666,36826,19802,False,0,
